text,scraped_at,source
"VP Vance announces significant progress in Iran nuclear talks, stating the US achieved key objectives including Iran's acceptance of IAEA inspections, marking a major victory for the American people.your reaction",2026-06-22 11:58:17,@Orivibesolution
"Our islamist partner enabling, funding, protecting hizbollah, a terrorist proxy of the islamic regime in Tehran, attacks on the only democracy in the Middle East, our historic ally and side with hizbollah",2026-06-22 11:58:17,@RedTory1
Yeah! MMS was in power for a decade while Congress remained silent when he ran the most corrupt Government ever.,2026-06-22 11:58:16,@_Stalinkabaap_
"🇶🇦 Qatar PM warns escalation in Lebanon will affect US-Iran talks. He slammed Israel for killing 100 Lebanese during ceasefire, praised US role. Diplomatic tightrope as violence continues. 🚨",2026-06-22 11:58:16,@DinoLeadingNews
"🚨 JUST IN: President Trump is pushing for YEARS IN PRISON for the leftists ripping up and vandalizing the Lincoln Reflecting Pool, CONFIRMS MULTIPLE ARRESTS Good! Maximum FAFO for the degenerates! 🔥 ""The United States Park Police have arrested multiple individuals for",2026-06-22 11:58:15,@warDaniel47
We all want Iran to qualify and Belgium to exit right?,2026-06-22 11:58:11,@KingsleyEz95613
They'll never get even step 1 to happen. Trump is too much of a narcissist to ever apologize for something.,2026-06-22 11:58:11,@tbw_prdcanadian
Donald Trump is the world’s biggest baby. He is a shell of a man. Weak. Dumb. Insecure.,2026-06-22 11:58:11,@JoeMastrosimone
"Joe Scarborough, on Morning Joe (MS-NOW), setting out to destroy the MOU that could end the US War against Iran. STFU Joe.",2026-06-22 11:58:08,@tunesmithCoffey
Trump threatens to strike Iran over support for Hezbollah as fighting continues in Lebanon #Iran #DonaldTrump #Lebanon,2026-06-22 11:58:08,@adam76steel
#Trump via Truth Social.,2026-06-22 11:58:06,@XauusdSignal
"US Vice President Vance pushes back on “misreporting” about Iranian assets potentially being unfrozen and says that if any of the regime’s money is freed up, it will go to help the American economy and make U.S. farmers richer: “We wanted to make sure that we set up a process",2026-06-22 11:58:06,@AdityaRajKaul
JD Vance himself clarified that Iran did not walk out; those were only rumours and speculations to mislead,2026-06-22 11:58:05,@junaid_ahmed_
Replay: JD Vance addresses US-Iran talks • FRANCE 24 English via,2026-06-22 11:58:05,@scheerenberger
JUST IN: IRANIAN DELEGATION OFFICIALLY LEAVES SWITZERLAND HEADING BACK TO TEHRAN,2026-06-22 11:58:04,@ShaykhSulaiman
"Be interesting to watch how this plays out. Will not look good for the right, and Trump if critics are getting banned the same as the left does. We'll see though, as the verdict is still out. I say that as one that has been suspended in the past for some asinine reason, but",2026-06-22 11:58:02,@JR075300
"Goes to show how corrupt and self-serving our politicans are. Personifying Zelensky, Netanyahoo and Trump",2026-06-22 11:58:02,@kabolakov
Trump is telling stories to Fox News about imaginary conversations he's had with the voices in his head.,2026-06-22 11:58:01,@MikeVanriel2
"🚨HEARTBREAKING : A mother carries her only daughter’s coffin, an orphan after her father was killed earlier in the war. She survived more than 32 months of genocide under her mother’s care, only to be killed moments ago in an Israeli airstrike.",2026-06-22 11:58:01,@gazanotice
Yes. It was. have handed a victory to the odious reform/trump mob. You should be bitterly ashamed of yourselves. I know that all thinking people are. You're responsible for the inevitable exodus from,2026-06-22 11:58:01,@LindseyMurray23
Trump Humiliates Himself Repeatedly in Interview with Fox News | NowThis via,2026-06-22 11:58:01,@kkn2jazzz
"Daily Mkt Diagnosis: On Thursday, we got the all important ""reaction to the reaction to the reaction"" (3rd reaction) to the Fed meeting, as well as signing of Memo of Understanding on Iran War on Wed evening, and boy was it a good reaction after a brutal Weds with bad reactions",2026-06-22 11:58:00,@gmorton512
Iran won. Trump lost. Israel lost.,2026-06-22 11:57:59,@HouseCracka
Trump gotta shut the fuck up.,2026-06-22 11:57:59,@Atwitisborn
"No, they simply are protesting Trump use of a No Bid contractor who was qualified, thus screwing up the pool!!!",2026-06-22 11:57:58,@johnwojcik1
