text,scraped_at,source
Middle East Eye argues Canada’s Iran stance exposed a gap between Mark Carney’s Davos rhetoric and Ottawa’s real-world response to the war. Bigger picture: selective standards weaken the order middle powers claim to defend. #Canada #Iran #Diplomacy,2026-04-01 07:23:52,@dConflictPulse
"President Donald Trump: “We will be leaving here very soon. Whatever happens in the Strait of Hormuz is none of our concern. If any country wants gas or oil from the Persian Gulf, they will have to arrange it themselves.” This is essentially an admission of defeat a humiliating",2026-04-01 07:23:52,@Factfinders10
US eyes swift end to war as fresh attacks hit Gulf states and Iran,2026-04-01 07:23:51,@nakaarima
"All these wars and propaganda have been carried out in the world for 80 years because of anti Semitism and against racism from Europe to South Africa, then the Arab world has imposed a racial law that anyone born in Iran cannot board a plane! Just like the dark ages of America",2026-04-01 07:23:51,@cosmictoadtime
Indian pigs who want to liberate Iranian Women same indian pigs are raping a woman on road in India... Indian law Maker raping a woman on Highway,2026-04-01 07:23:50,@funny_Democracy
BREAKING 🔴🔴 Qatar reports that an Iranian cruise missile struck one of its oil tankers in the Persian Gulf this morning.,2026-04-01 07:23:50,@Osint613
"Continuing our support for the resistance and jihad fronts, and fulfilling our religious, moral, and humanitarian duty towards the free people of our Islamic nation in Iran, Iraq, Lebanon, and Palestine.",2026-04-01 07:23:50,@wide90829
"Trump should reduce his peace plan to two points: Iran gives up its more than 950 pounds of nearly bomb-grade highly enriched uranium, and in return the United States gives up on regime change. via",2026-04-01 07:23:48,@dahaar
"🎯 IDF DISMANTLES ROCKET LAUNCHERS IN SOUTHERN LEBANON, ELIMINATES HEZBOLLAH, IRANIAN, AND HAMAS OPERATIVES, STRIKES TERROR INFRASTRUCTURE, AND CONFIRMS UNIFIL INCIDENT WAS NOT CAUSED BY IDF 💥 LAUNCHERS DISMANTLED AND STRIKES CONTINUE IN SOUTHERN LEBANON: IDF forces dismantled",2026-04-01 07:23:47,@IsraelRealtime
"🇮🇷🇮🇱🔸Iran and Hezbollah launched simultaneous missile attacks on northern Israel and Tel Aviv. Most landed in open areas, although some buildings were hit.",2026-04-01 07:23:46,@FapeFop90614
I KNOW! HOW CAN TRUMP VOTE?!,2026-04-01 07:23:46,@JenniferThePart
Free Iran and Iranians from the evil that this regime of mullahs is. #FreeIran‌ #IranMassacre‌ #IranRevolution2026‌,2026-04-01 07:23:46,@moonmehr
🚨#XAUUSD #GOLD Signal Join Free Signals💸 96% Accuracy Rate 2–7 Profitable Signals Every Day $CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $AD $TRUMP $HBAR $yznzhoojuu,2026-04-01 07:23:45,@Mrharry118
Iran’s Foreign Minister Abbas Araghchi spotted in public on streets despite ongoing US Israeli strikes on Iran.,2026-04-01 07:23:45,@TahirShah687
"🇾🇪🇮🇷🇱🇧🇮🇱 ""Yemen carried out the 3rd military operation, which targeted sensitive targets of Israeli enemy in southern occupied Palestine with a barrage of ballistic missiles. Operation carried out in conjunction with the Mujahideen brothers in Iran &amp; Hezbollah in Lebanon."" —",2026-04-01 07:23:45,@MyLordBebo
Speak up #gaza #GazaGenocide‌ #Israël #israel #IsraelGlobalTerrorGang #freepalestine #IranWar #Irán American Italia trump #lebanonisbecominggaza #Sudán,2026-04-01 07:23:45,@Zonguldakkk6767
📰 Israel Strikes Iran Amid Escalating Conflict; Trump Predicts US Withdrawal and Oil Price Drop #IranWar #IsraelStrikes #Trump #NATO #PerspectaNews Compare perspectives from multiple sources:,2026-04-01 07:23:43,@PerspectaNews
Trump’s Ground War Gamble Faces Defiant Iran and Global Chaos,2026-04-01 07:23:42,@inTimesIndia
"Two genocidal maniacs are bombing hospitals and pharmaceuticals, and the Muslim world is silent.Trump claimed to be a humanitarian who wanted to stop wars. What a joke! This is his real face! This,is,how,he will liberate iranian ppl from the Islamic regime. Shame on the liar!",2026-04-01 07:23:42,@laila54781
"BREAKING : US base in Baghdad Iraq capital, got hit by Iranian missile.",2026-04-01 07:23:41,@Paradisenewslin
"Hopefully they will survive the onslaught on perpetual bombing now that they're back home. I'd like to think Iran is slowing down that, but with the zionist terrorist occupation colony #ZTOC aka, israhell one can't be sure...",2026-04-01 07:23:39,@ErobosAbzuLamas
Thank you Carey Mitchel You Kill Donald Trump kill Cary Mitchell was the movie ask You bye,2026-04-01 07:23:38,@gameshotcaller
"Yemen’s Houthi movement has claimed responsibility for a ballistic missile attack targeting ""sensitive sites"" in southern Israel. According to a statement broadcast by the Houthi-affiliated Al-Masirah TV, the operation was reportedly ""carried out jointly"" with Iranian forces and",2026-04-01 07:23:38,@Awakeningmedia1
🚨 This is Huge for the Super Eagles! After Iran officially wrote to FIFA to withdraw from the World Cup and with the playoffs ongoing. FIFA has offered Nigeria another opportunity to be able to get into the World Cup to fill in for Iran. Congratulations 🎉 to Nigeria 🇳🇬!!,2026-04-01 07:23:37,@joey_tkr
"Help the people of Iran. The regime in Iran has shut down the internet and mobile networks to suppress its. if you have the technical, financial or political resources help people reach other agian please you can please #KingRezaPahlavi‌ #DigitalBlackOutIran‌",2026-04-01 07:23:37,@Perlas1hm
