text,scraped_at,source
"Biden/Harris would’ve quintupled this, had they won in 2020",2026-04-15 11:43:17,@BMSYS85
"No surprise, really 🤷🏻‍♂️. Iran secretly acquired a Chinese spy satellite that gave the Islamic republic a powerful new capability to target US military bases across the Middle East",2026-04-15 11:43:17,@GregBufithis
"📊 Trump Prediction Tracker Donald Trump predicted: ""(Iran war could end this month; a high chance of a deal.)"" Source: CHOSUNBIZ - Chosunbiz",2026-04-15 11:43:16,@goodguysunited
JUST IN: 🇺🇸 President Trump says rates will fall once Kevin Warsh takes over as Fed Chair.,2026-04-15 11:43:16,@BullpenOptionsx
"many people like you hate Trump so much that they would rather blame America than admit Iran started this mess and is paying the price for its aggression. I believe results, not petty emotional backlashes. The blockade is delivering those resul",2026-04-15 11:43:16,@King_Wisdom__
Biden is sharp as a tack!!!,2026-04-15 11:43:15,@Jan33145082022
"Worryingly repeatedly portrays as a disloyal free-rider. But repetition does not make these claims true. War against Iran was from the beginning a solely US-Israel project, outside NATO's mandate and without consultations with Allies. And US does not subsidize NATO👇",2026-04-15 11:43:15,@RobertPszczel
Middle East crisis live: Iran threatens shipping beyond strait of Hormuz if US naval blockade continues - The Guardian,2026-04-15 11:43:15,@Adamsam999
Straight up sectarianism lol. Trump is going to keep fanning the fire for this one,2026-04-15 11:43:14,@JJ4766
*Iran Warns of Wider Maritime Blockade if U.S. Naval Pressure Persists*,2026-04-15 11:43:14,@thelencemedia
Pope Leo cares about the ISLAMIC REGIME OF IRAN than Christians persecuted by Muslims in Islamic states! Okay!!!,2026-04-15 11:43:14,@Crusader748767
"""Expel Israel from the UN. And more important, expel Israel from Congress &amp; the White House."" , #American physician #GazaGenocide #IsraeliWarCrimes #FreePalestine",2026-04-15 11:43:13,@Act4Pal2
"As of April 15, 2026, Iran’s primary ""trick"" to bypass the U.S. naval blockade of the Strait of Hormuz involves leveraging vast offshore oil supplies and alternative port facilities to keep its economy afloat while testing American resolve. #News",2026-04-15 11:43:13,@gdubon007
"JUST IN: 🇺🇸🇮🇷 US and Iran agree ""in principle"" to extend ceasefire, AP reports.",2026-04-15 11:43:13,@Preciousmistic
Iran no longer has; ❌A functioning economy ❌A currency that works ❌An Airforce ❌A Navy ❌A conscious Ayatollah … and the mainstream media are trying to tell you it is winning….!,2026-04-15 11:43:12,@DVATW
and the trump criminal admins DOJ trying to erase the Jan.6 convictions is an insult to every police officer that defended the capital that day. This criminal administration has no shame. Law &amp; Order is bullshit under the trump criminal admin.,2026-04-15 11:43:12,@M3MusicGroup1
🚨 “Crime needs strength — not weakness.” Donald Trump calls it out: “The Pope is weak on crime.”Now it’s a statement you can wear. 👇 🔥 Trump The Pope Is Weak On Crime – Pope Leo XIV Shirt 👉 💥 Bold. Controversial. Viral-ready. #Trump #NoKings #pope,2026-04-15 11:43:12,@34bds
🚨BREAKING: President Trump says interest rates will drop once Kevin Warsh takes over as Fed Chair.,2026-04-15 11:43:11,@LmMacro_
NATO defended the USA when 9/11 as written in article 5. That article 5 does not apply by law when the USA attacked Iran. The NATO alliance will be better off by leaving the USA out. UK ànd France possess nuclear weapons and they can build its own defenses without the stupid USA.,2026-04-15 11:43:11,@frank_sobe42891
Not in the UK's national interest? The UK is being held ransom to the IRGC for our fuel. Surely it is TOTALLY in the UK's interest to end this blackmail and to become independent.,2026-04-15 11:43:10,@fairlinda123234
"Iran war 'very close to over,' Trump says — and the stock market 'is going to boom' #IranWar #BreakingNews #USA #USpolitics #WorldNews",2026-04-15 11:43:10,@poojabnf
Trump Portrays Himself as Jesus,2026-04-15 11:43:10,@EonHoldings
"Iran is digging out missles....ja....""good faith""",2026-04-15 11:43:10,@DewyDoRight
"Pakistan upholds a strict zero tolerance policy against Khawarij, ensuring they have no safe haven to function within the nation. #Iran #Trump #Pakistan #Italy #Meloni #StraitofHormuz #BariImam #TaylorSwift #BTS #China #Vance #Lebanon #Israel",2026-04-15 11:43:10,@RubixExchange_
FRAUD POPE..Trump worships Jesus more than the false Pope. He thanks Jesus for saving him at Butler and standing with him thru his unfair inquisition. For sure Trump has stronger Faith in Jesus and God than this False Woke Pope.,2026-04-15 11:43:09,@ilulupat
