text,scraped_at,source
No war. No noise. China is rising as oil trade through the Strait of Hormuz shifts to yuan with Iran. This is how global power changes.,2026-03-30 07:45:01,@Mohsin_0909
🚨#XAUUSD #GOLD Signal Join Free Signals💸 96% Accuracy Rate 2–7 Profitable Signals Every Day $CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $AD $TRUMP $HBAR $yznzhdsqw,2026-03-30 07:45:00,@Mrharry118
Attacks on Iranian Nuclear Facilities: Massive Damage to Arak Reactor—IAEA Confirms! #IranWar‌ #Nuclear #ısrael #IranUS #iransupremeleader,2026-03-30 07:45:00,@NEWSENSE008
"Japan and South Korea's combined $19 billion used-car export industry is in chaos after Iran shut the Strait of Hormuz, leaving shipments stranded at sea, diverted to unexpected ports or recalled home",2026-03-30 07:45:00,@ReutersAsia
"Heavy Smoke Rises Over Be’er Sheva After Iranian Missile Strike on Industrial Zone An Iranian missile attack targeted southern Israel, sending plumes of smoke across Be’er Sheva’s industrial area as authorities assess damage and casualties #WashingtonEye",2026-03-30 07:45:00,@washington_EY
"VIDEO | Adoor, Kerala: Lok Sabha LoP and Congress MP Rahul Gandhi addresses a public rally, says, “We have a fundamental ideological difference with BJP and RSS. BJP understands that the LDF can never challenge them at the national level. If BJP is in power in Delhi, they",2026-03-30 07:44:59,@PTI_News
"🚨CODE RED! REPEAT, WE'RE AT A CODE RED! ADAM MOCKLER () OF REPORTS THE IRAN WAR TRIGGERING A GLOBAL OIL CRISIS—SUPPLY DISRUPTIONS &amp; ENERGY RATIONING SPREADS ACROSS COUNTRIES AMID TENSIONS/TROOP DEPLOYMENTS, INTENSIFYING WORLDWIDE ECONOMIC FALLOUT!🚨 👇",2026-03-30 07:44:58,@DaltonT19134372
🚨Commander of the Islamic Revolutionary Guard Corps Navy Force Rear Admiral Alireza Tangsiri was martyred due to injuries he sustained in an enemy agressive attack on south of Iran,2026-03-30 07:44:58,@MehrnewsCom
🚀 𝗦𝗧𝗥𝗢𝗡𝗚 𝗕𝗨𝗬 alert for 𝗔𝗪𝗘! 🎯 𝗧𝗮𝗸𝗲 𝗣𝗿𝗼𝗳𝗶𝘁: $0.0604 🛑 𝗦𝘁𝗼𝗽 𝗟𝗼𝘀𝘀: $0.0409 Bot Link in My Bio #Iran | #BTC | #IranWar | #Israël | #khamenie | #nethanyahu | #AWE,2026-03-30 07:44:58,@Crypto_xtch
🇮🇷🇹🇷 // Iran's acting defense minister tells Turkish counterpart that Tehran will continue to punish aggressors and ensure war does not repeat itself.,2026-03-30 07:44:57,@GenAlerts
"Alot of money was paid out today. Pure astro turf. Color revolution, then comes the Civil disobedience, then riots. Democrats will increase their rhetoric. Then they will try to impeach Trump.",2026-03-30 07:44:57,@9186Retired
United States President Donald Trump says in an interview he wants to “take the oil in Iran” as Tehran accuses Washington plotting a ground attack despite publicly pushing for a negotiated deal. #US #Iran #Tehran,2026-03-30 07:44:57,@Anonymous762804
"The Nigerian government is aware of this, but the DSS and the Nigerian Police Force will not act on it. Instead, they prefer to arrest those who air their opinions on the Iran–US/Israel conflict. Even the Benue people, it's just Allah that exposed them because they're no better",2026-03-30 07:44:57,@arc_atiku
