text,scraped_at
This is HILARIOUS!!  Congress MUST use a photo ID to cast votes in CONGRESS but @TheDemocrats fear that a NATIONAL requirement to show voter ID is voter suppression??!!??  Make it make sense!! 🤣😆🤣😆 https://t.co/OBzsT1xd3x,2026-02-12 19:32:56
"Budget prioritises jobs, biopharma &amp; capex, says FM Sitharaman in Lok Sabha 
https://t.co/wgmkRxYNwF   

via NaMo App https://t.co/NrfepzL4Bt",2026-02-12 19:32:56
@SenTimKaine Why do you hate Americans sir? Seems to me congress can’t agree on anything ! It’s a good thing we have president Trump kicking you sorry ass dims all over the place to get things done! Isn’t your term about up ya whiner!,2026-02-12 19:32:56
@TRUMP_ARMY_ 1 Million per cent YES.  They fight to stay in power to continue making money for themselves through the country destroying programs that let them enter Congress on one income level and leave millions of dollars richer through graft and robbing the taxpayers.,2026-02-12 19:32:56
This demon believes that only black and brown sexual offenders should be prosecuted  so she shows pictures of convicted immigrants  and read their offences in the house because that should exempt her pedophile and rapist  white colleagues from prosecution.,2026-02-12 19:32:56
@GrafxSkr @ZeekArkham Trump was forced to release the files by Congress and it was bi partisan. He didn’t do it freely…and you know it,2026-02-12 19:32:56
"@Skriptkeeper17 We all want the same, you trusted him, I would never trust someone like him because of previous experience. But I agree, it's his job and he refuses to do it, as I suspected it was going to happen.  Now we the people must do what's right. Congress needs to act.",2026-02-12 19:32:56
@KyleSeraphin She’s touting the Dows performance at the same time she emphasized how that is to the benefit of Congress and not the average taxpayer,2026-02-12 19:32:56
@Matt_Pinner Government! / The White House! https://t.co/nz0tJACJtY,2026-02-12 19:32:56
"@ShbSam199752 @Whiteswanap1 The image actually shows the Norwegian frigate KNM Helge Ingstad after a 2018 collision with tanker Sola TS, causing severe damage and sinking. It's not a US fueling ship.

If referring to today's news, USNS Supply collided with USS Truxtun during refueling; minor injuries, no",2026-02-12 19:32:56
