text,scraped_at,source
"Senator Chuck Schumer’s Statement – April 13, 2026 🔹 Quote: “This week, for the 4th time since this war began, Democrats will force a vote to stop the war in Iran and rein in an out-of-control Trump.” – Senator Chuck Schumer (D-NY), Senate Minority Leader 🔹 Context: Democrats",2026-04-14 07:51:00,@marketsday
"Iran Condemns U.S. Naval Blockade, Urges UN Action to Protect Sovereignty",2026-04-14 07:50:59,@headlinenepal
"US VP JD #Vance all praise for #pakistani civil and military leadership for hosting #usiran #islamabadtalk, Fox News #fox #news #breaking #peace #IranWar‌ #trump #pakistan #peacethroughpakistan #world #war #gulf #diplomacy",2026-04-14 07:50:58,@ErfanKhaanz
But and the entire cabinet will do or say nothing. They will pretend they can't read. Tomorrow they will condemn Iran for daring to fight back.,2026-04-14 07:50:58,@aloeareyouokay
This is what Trump is talking about when it comes to the new Pope.,2026-04-14 07:50:58,@ItsMeGitau
"Iranian ""X"" Admins teaching us how it's done. 😂😂😂😂😂",2026-04-14 07:50:58,@DivhaAfrica
I heard Trump had to preemptively strike the Iranians cuz they were smuggling weapons grade autism into russia throu jaboodi,2026-04-14 07:50:58,@MikeOxxbig23
#Breaking #News🚨 ✅ Trump responds to ques on #Schiff getting advance details of whistleblower ID ✅ Schiff testifies to Jim Jordan he does not know identity of whistleblower #Schiff #Indictment coming,2026-04-14 07:50:57,@WB6DYN
"Is there anybody left wondering why the #UnitedStates is so ridiculous? They started the #IranWar on behalf of #Israel and they clearly don’t have a clue what they’re doing. I mean really, Trump and Vance are obvious lifelong fools.",2026-04-14 07:50:57,@CharlesIngram
Trump is now a doctor 😄 Popcorn o'clock,2026-04-14 07:50:56,@KSB
"If resistance were to take the shape of a country, they would become Iran!",2026-04-14 07:50:56,@soltanasadi
Trump’s Strait of Hormuz blockade threatens piracy and risks outright war against China,2026-04-14 07:50:56,@dave43law
"Love them and/or hate them, Iran has got the hypocritical West with the balls. And how then does the West explain this stinking Nuclear imbalanced Proliferation Policy? Just unpack this bullsh!t so that it can then make sense.",2026-04-14 07:50:55,@Simkho_II
Hopefully Trump comes back to the negotiating table in good faith. The Islamabad Peace Agreement must be pushed to succeed.,2026-04-14 07:50:55,@mosalamandani
A cross-eyed #parramattaroadzombie is offended that we have a picture of Donald Trump on our street signage. Definitely a fake customer complaint.,2026-04-14 07:50:54,@BBQAroma
"—❗️🇺🇸/🇮🇷/🇸🇦 NEW: Less than a day in, Saudi Arabia is pressuring Trump to drop the blockade on the Strait of Hormuz, warning that it could push the Houthis to escalate in the Red Sea and Bab Al-Mandab – WSJ",2026-04-14 07:50:53,@AllisonAjuluch
"Trump administration going back to the JCPOA framework? ""Also notable that there's no mention at all of missiles and proxies. These were supposedly red lines for America in the February talks. But they don't feature at all in any of the reporting about the current negotiations.""",2026-04-14 07:50:52,@ulrichspeck
"🚨 BREAKING NEWS 🚨 US President claims fresh contact with Iran for a potential deal amid rising tensions. Warns that the Strait of Hormuz blockade will be strictly enforced despite diplomatic signals. NATO allies refuse direct involvement, distancing themselves from the US-led",2026-04-14 07:50:51,@GlobalUpdates_0
"THE MIDDLE WAY America wants Iran to abandon its Nuclear Program (NP) for ever, Iran does'nt agree. Now Iran proposes to freze its NP for 5 yrs, US insist on 20 yrs.. Let it be 7 yrs to make a breakthrough in the peace talks.",2026-04-14 07:50:51,@DrIslam_PK
"This is who they're planing to replace Trump with, lol. They own him, he's not a real catholic but a paper Catholic to appease the Christian masses. Look who funded and made him, VP; same guy that wants to control the world by proxy like him and his principal.",2026-04-14 07:50:47,@Sekism
JUST IN: IRAN SAYS INITIAL ESTIMATES PUT WAR LOSSES AT $270 BILLION SO FAR,2026-04-14 07:50:46,@ShaykhSulaiman
Swalwell CRIMINAL Probe Begins! Schiff CAUGHT in Impeachment Docs BOMBSHELL! A life lesson from The People’s Congress “Know your enemy” We have the most Corrupted Government in the world. The “democrats” and the “democrat republicans” have invaded our,2026-04-14 07:50:46,@CaptainswebBG
"I stand with Trump, vatican is wrong and like I've always said, why does the church need to contribute money and send to vatican instead of developing their own? I would never agree with that idea.",2026-04-14 07:50:44,@martorali
"UN’s 36th and 37th reports back up Pakistan’s assertions that more than a dozen terror outfits are active on Afghan soil, enabling cross-border assaults into Pakistan. #loadshedding #fuelprotest #IslamabadTalks #Trump #Iran #Israel #Lebanon",2026-04-14 07:50:43,@Grp1224Tarar
