text,scraped_at,source
President Trump is always careful what he lets out of his mouth.,2026-05-02 07:48:35,@okkaphg
"𝐓𝐡𝐫𝐨𝐰𝐛𝐚𝐜𝐤 𝐭𝐨 𝐂𝐨𝐧𝐠𝐫𝐞𝐬𝐬’ 𝐚𝐬𝐬𝐚𝐮𝐥𝐭 𝐨𝐧 𝐝𝐞𝐦𝐨𝐜𝐫𝐚𝐜𝐲: 𝐓𝐡𝐞 𝟏𝟗𝟕𝟒 𝐑𝐚𝐢𝐥𝐰𝐚𝐲 𝐬𝐭𝐫𝐢𝐤𝐞 𝐜𝐫𝐚𝐜𝐤𝐝𝐨𝐰𝐧! On May 2, 1974, the Congress-led government launched a 𝐩𝐫𝐞𝐦𝐞𝐝𝐢𝐭𝐚𝐭𝐞𝐝 𝐚𝐬𝐬𝐚𝐮𝐥𝐭 𝐨𝐧 𝐝𝐞𝐦𝐨𝐜𝐫𝐚𝐜𝐲 𝐛𝐲",2026-05-02 07:48:34,@aniljaindr
Trump's Iran frustration out in open; threatens Germany for 'humiliation... via,2026-05-02 07:48:34,@bengloriam144
So out of touch. Trump Says Iran Blockade ‘Incredible’ as Pump Prices Keep Rising,2026-05-02 07:48:32,@culo_ur
"Pakistan as its preferred and credible mediator in the context of the US-Iran ceasefire, which once again proves Pakistan's status as a responsible and peace-loving country. #GreatRespectForPakistan #TremendousRespectForCDF",2026-05-02 07:48:30,@yourbrowngurl
"Grok: = Information is primarily from activists, exiled Iranians, and social media due to the regime’s control of information inside Iran. Independent verification is difficult in such cases. The story has spread rapidly in recent days as a symbol of resistance to censorship.",2026-05-02 07:48:29,@LurgiUrgi
Donald Trump says he met with Nate Morris of Kentucky and asked him to step aside from the Senate race for a role as Ambassador. A major Senate endorsement is coming soon!,2026-05-02 07:48:28,@Ivy0055
I just found an unusual account on Polymarket since the creation of the account it trades only the Iran - US conflict right now it has several positions all on one date - May 15 all with the same idea: the strait will not be opened in total around ~$1M it is just split,2026-05-02 07:48:27,@0xLanister
"THE HITCH 1949-2011 The world endures a poorer place without him. What would Christopher Hitchens make of the world today? Without a doubt, he would be the inveterate critic of both Trump and the woke left. When civilisation imposed absolutes and the people revolted with",2026-05-02 07:48:27,@OJGrey11
Hondurasgate: audio leaks expose US takeover scheme via #Honduras #Trump #USA #ellections #apartheidisrael,2026-05-02 07:48:25,@sergiustefan87
Trump gives brutal impression of congresswoman Ilhan Omar summoning brother she is accused of marrying into bed,2026-05-02 07:48:25,@DailyMail
"Could you and your boyfriend please report your news and opinions without the slimy sarcasm that makes you seem to hate Trump and his officials and hope for a bad outcome for us. Your work is unmatched and opinions tolerable but the constant sarcasm drags you down , you’re better",2026-05-02 07:48:23,@GlenwoodOney
"May 1,2026 55 republicans JOINED Democrats voting to not remove carbonated beverages from SNAP LADIES you better start running for office because the handful of good guys is all there is left of what the country really wanted .President Trump can’t do it alone ! ~",2026-05-02 07:48:23,@lorry86666863
They can send a personal thank you letter to Trump for closing it down.,2026-05-02 07:48:23,@JJactright
"🚨 WARNING: MONDAY WILL BE THE WORST DAY OF 2026!! Trump just OFFICIALLY confirmed that the US will invade Cuba IMMEDIATELY after finishing with Iran. Should I remind you what happened to the markets when the US started strikes on Iran? When markets start pricing that reality,",2026-05-02 07:48:21,@DefiWimar
"Dear sir, Iran is black mailing the entire world's economy through the strait of Trump. Iran is simply bluffing. Pls hit them on the stomach rather than on back, before boots on the ground. With regards, Thanks.",2026-05-02 07:48:20,@KC_Kamleshukla
WATCH: ‘Shame On You!': Hegseth BLOWS UP At Dems Lawmaker Over Iran War via,2026-05-02 07:48:20,@thuy1975
"U.S. President Donald Trump said he is not satisfied with Iran’s latest proposal to end the war, saying Tehran is asking for terms Washington cannot accept. The proposal was sent through mediators in Pakistan. 📹: Reuters",2026-05-02 07:48:19,@the_hindu
"️ I took three cognitive tests, and I got the best score on all of them. The first question is very simple: lion, giraffe, bear and shark. They ask, ""Which one is the bear?"" — Trump Most people will not answer these questions, he added",2026-05-02 07:48:19,@vyshnevski23623
"🇺🇸⚡️🇮🇷 ‘I refuse to be complicit.’ — Guido Reichstadter, 45-year-old activist occupies the top of DC’s Frederick Douglass Memorial Bridge to protest the war on Iran.#NoWarOnIran #RefuseToBeComplicit #ActivistOverBridge #StandWithGuido #DCProtest #StopTheWarOnIran",2026-05-02 07:48:18,@VoiceofCanary
Nothing's Gonna Trump Us Now,2026-05-02 07:48:17,@vccv0987
The West’s bubble of illusion about Israel – and about itself – is finally being burst Jonathan Cook The genocide in Gaza and ethnic cleansing in Lebanon exhausted the West’s moral legitimacy. Now Iran is slowly exhausting the West’s,2026-05-02 07:48:17,@BRAVENEWEUROPE1
One must weep for a nation for whom this man intends to make their country great again. #DigitalBlakoutIran #Iran,2026-05-02 07:48:16,@DeeAnita_
President Trump to visit the villages and people have lined up since 11 o’clock last night.,2026-05-02 07:48:15,@stamulis_james
