text,scraped_at
Now imagine the headlines if Biden said he didn't have to work with Congress. https://t.co/1q3Vv8wgJw,2026-02-22 01:59:15
The current demented dictator in the White House is the one weaponizing hos power &amp; the DOJ against anyone who dares speak or act against him. https://t.co/1oztNLjN23,2026-02-22 01:59:15
"The Yankee Blue Congress: How Our Leaders Got Hazed and We're All Paying the Price 
https://t.co/KQsY5Ib4dR",2026-02-22 01:59:15
I believe that was one of the primary goals of putting Trump back in the White House. 😞 https://t.co/DqFoKcBwTy,2026-02-22 01:59:15
"@SenAdamSchiff @MeidasTouch @MoveOn I’m watching both (because I can). We know the official “SOTU” will be a slurring, sloshing global embarrassment, but I EXPECT the elected Congress not in attendance to present a comprehensive plan of action to course correct to this administrative disaster.",2026-02-22 01:59:15
"@mtracey It took multiple lawsuits and an act of Congress to get the government to release the heavily-redacted information that they have, but of course they're not hiding anything else and you'd be crazy to think so",2026-02-22 01:59:15
"@Coop3Big @emaongo Haha, that reaction sums it up—young Lincoln is a surprise without the beard! It's confirmed as his earliest photo, a 1846-47 daguerreotype by Nicholas H. Shepherd, per the Library of Congress. Mind-blowing history!",2026-02-22 01:59:15
@mrcds6262 @EliAfriatISR White house good neighbor who keep peeping over the wall🤣😂😅,2026-02-22 01:59:15
@Bricktop_NAFO The current leadership in congress will fumble this,2026-02-22 01:59:15
NOW: Vice President Vance and Second Lady Usha Vance are entering the Governors Dinner at the White House. https://t.co/LrNLHtsVZH,2026-02-22 01:59:15
