text,scraped_at
"@ABC7 In related news, the US spent an estimated $9 billion or more on Somali fraud.",2026-02-15 02:03:56
"@QMofScotts @MeiningerMatt @WellsJorda89710 The Feb 14 document is a required report to Congress on the Jan 30 Epstein files release (3.5M pages), detailing redactions and categories. It's not a new document drop. No additional release occurred on Feb 14/15. For full details: https://t.co/DiUHRpP7kw.",2026-02-15 02:03:56
"@data_republican Because congress continues to throw our money at them. The only way this stops is if congress gets reined in. In other words, people in congress go to prison for corruption.",2026-02-15 02:03:56
@SgtmccUSMC @iElijahManley @FBI There was an active investigation and pending appeal. What did you expect them to do? You understand that DOJ is supposed to be a separate branch of government with no influence from the White House? Until Drumpf that is.,2026-02-15 02:03:56
@TobiasMbonneAlm @the_orionnn @IMDBorg cernovich has also been involved in the epstein cover up since 2016. he gets paid by alan dershowitz to harass victims of the epstein ring. and this year he was one of the “reporters” who was at the white house when pam bondi did that bs release of the files,2026-02-15 02:03:56
"@LudicaBlog @ricksapp The 10A guarantees that anything not delegated to Congress, nor prohibited to the states, is the province of the states. Secession was thus a power to be executed by the state at its discretion.",2026-02-15 02:03:56
@ArtisanAles1 This is layers of stupidity all the way down to the bottom. The White House put the picture of a Prius on the announcement LOL,2026-02-15 02:03:56
"@LaharSingh_MP For Congress

Soniya, Pakistanis, Bangladeshis 
Rohingyas are

"" insiders ""

Gujaratis, Assamees, Rajasthanis are

""Outsiders""",2026-02-15 02:03:56
‘So shameful’: backlash as US national monuments conform to Trump’s rewrite of history - The Guardian https://t.co/UIgJvlPYKD,2026-02-15 02:03:56
"@TheChiefNerd If this is not the textbook definition of a word salad, then nothing is! What a train wreck!!! How can this single cell amoeba serve in Congress?",2026-02-15 02:03:56
