text,scraped_at,source
"🚨⚡️Israeli media: Significant damage and Iranian missile fragments fell on several sites in Tel Aviv, with 6 injuries reported.",2026-03-31 07:18:09,@mog_russEN
"This cardboard figure is their commander in chief, not #Pezeshkian! As I predicted before the Operation: The initial stages is going to be eliminating IRI's heads and their lines of succession In the next stages, we need to eliminate the #IRGC warlords that run the country",2026-03-31 07:18:09,@CyrusShares
🚨 FREE GOLD (XAUUSD) TRADING SIGNALS! 👇👇👇👇👇 96% Accuracy Rate 2–7 Profitable Signals Every Day $CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $AD $TRUMP $HBAR $gcds,2026-03-31 07:18:08,@RussianGir53436
Nicolle Wallace is absolutely stunned. Fake windows and a staircase to nowhere? This deep dive into Trump’s bizarre ballroom is a must-watch. #NicolleWallace #Trump #MSNBC,2026-03-31 07:18:07,@MTreutel12413
❌❌ IRGC mobilization to start the crackdown of unarmed Iranian protesters!,2026-03-31 07:18:07,@LionSunMovement
Many countries around the world are discussing the economic impact of the war with Iran. My proposed solution: regional or continental autarky to insulate against external shocks. That would work for many resource-rich regions.,2026-03-31 07:18:06,@LundaLZA
"Iran: Warmly greet the hands of the Iraqi people, officials, and resistance fighters. We appreciate your resilience and are proud of our shared commitment.",2026-03-31 07:18:06,@world_vibe_en
#BTC/USDT Direction: 🔐 Entry: 🔐 Stop Loss: 🔐 Target: 🔐 Leverage: x🔐 Details Available on VIP Channel $BTC $ETH $PEPE $XRP $ZIG $SNAI $MANEKI $CWIF $SOL $NEIRO $RFC $ARDR $HYPE $GAS $VINE $HPPO $KET $PAAL $TRUMP ⤵️⤵️⤵️,2026-03-31 07:18:05,@CryptoAcumxmsu
🚨 FREE #GOLD #XAUUSD TRADING SIGNALS! Join us on Telegram 👇 👉 98.99% Accuracy Rate 4–8 Profitable Signals Every Day. #GOLD #XAUUSD #CRYPTO $CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $nns $trump $gbpusd $usdjpy $usdchf $usdcadjhfdbvg,2026-03-31 07:18:05,@deborah06921699
"💥 BOOM! 💥 President Trump says: ""Crypto is very powerful"". And so many people now want to pay you in crypto. The future of payments is XRP. 🔥 #CRYPTO #XRP #FutureOfCrypto #trump",2026-03-31 07:18:04,@Radartrendx
New week wins 🔥🔥🔥 $BTC $ETH $PEPE $XRP $ZIG $SNAI $MANEKI $CWIF $SOL $NEIRO $RFC $ARDR $HYPE $GAS $VINE $HPPO $KET $PAAL $TRUMP Click on the link below to join our free signal group 👇🏿👇🏿,2026-03-31 07:18:04,@Crypt0anthony
Trump said Stait of Trump instead of STRAIT OF HORMUZ #usiranwar #iranwa... via,2026-03-31 07:18:02,@bahhatha
Iran will agree &amp; accept defeat if the feath toll reaches 42m people . Significant enough to save further loses,2026-03-31 07:18:02,@asssabir
Iran strikes giant oil tanker off Dubai after Trump’s latest threats - Reuters,2026-03-31 07:18:02,@MrMNelsonJr
"Before the war, the Strait of Hormuz was open. Oil flowed, ships moved, no problem. Then Donald Trump stepped in, escalated tensions with Iran, and suddenly the whole thing became a mess. Now the strait is effectively closed,and he is now apparently fine with that. So the",2026-03-31 07:18:02,@ricwe123
"🚨 BREAKING: Houthis back Iran with Israel strike but avoid escalation—for now. Fearing retaliation, they hold Red Sea blockade &amp; Gulf attack threats to stay relevant for Tehran. #Iran #Israel #War",2026-03-31 07:18:02,@Archange_Shadow
🚨 FREE GOLD (XAUUSD) TRADING SIGNALS! 👇👇👇👇👇 96% Accuracy Rate 2–7 Profitable Signals Every Day $CRO $VVS $BTC $ETH $SOL $XRP $DOGE $SHIB $PEPE $PI $SUI $AD $TRUMP $HBAR $pwie,2026-03-31 07:18:02,@RussianGir53436
"🚨 FLASH: Initial reports cite Iranian cluster munitions impacting central Israel, causing injuries &amp; fires. Geopolitical risk spike monitored for oil, bonds, equities. Awaiting official confirmation. $CL $BZ",2026-03-31 07:18:02,@FlashFeedMacro
"I agree that Trump doesn't want to leave Hormuz under Iran's control. The problem for the US is that they now face mission creep - they entered this war on Israel's assurances, thinking an air campaign would be enough. Now they're deploying a small force of 15,000 men. What next?",2026-03-31 07:18:01,@TalAbdulrazaq
IRANIAN F M RESPONDS TO US STRIKES ON TO KHARG ISLAND I WANTED TO START WITH THE NEWS OVERNIGHT THAT THE U S HAS CARRIED OUT A MILITARY STRIKE ON KHARG ISLAND TRUMP SAID THAT REASONS OF DECENCY I HAVE CHOSEN NOT TO WIPE OUT ALL THE OIL INFRASTRUCTURE ON THE ISLAND OUR ARMY HAS,2026-03-31 07:18:00,@SteveAd13487346
"Trump , Putin, Netanyahu , Tory, Labour , Lib Dem, Reform. All of them want to rule over another country. Time for #independence #scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 #voteSNP who only want to run Scotland. 🏴󠁧󠁢󠁳󠁣󠁴󠁿",2026-03-31 07:18:00,@brawday
"Look under the surface – and you will see it is a connected struggle. Whether one is in Iran, Lebanon, Gaza, UK, North or South America, or anywhere else on this tragically divided planet, the struggle to maintain a dignified life connects us all.",2026-03-31 07:18:00,@CrGlobalization
"Prime Minister Sir Keir Starmer will chair a COBRA meeting later on the war in Iran. Ministers are urging drivers to fill up as normal, despite concerns the conflict could disrupt fuel supplies.",2026-03-31 07:18:00,@CentralFMNews
"When you study any kind of political science, you’re given a comprehensive review of modern world history, emphasising *lessons* from that history ie Suez Canal, Gallipoli, Bay of Pigs. No one currently in the White House seems to be familiar with even 101 level.",2026-03-31 07:17:59,@mehrbano
Top Pentagon Pete Aide Made Jaw-Dropping Claim About Trump and Black Women - The Daily Beast Do assholes hire worse assholes as staff? Appears a big yes for Trump and Hegseth.,2026-03-31 07:17:59,@DonaldH95670
